epoch,accuracy,loss,val_accuracy,val_loss
0,0.6673527956008911,0.9095853567123413,0.8283950686454773,0.5048331618309021
1,0.8097983002662659,0.5487291812896729,0.8925926089286804,0.3414326608181
2,0.8217373490333557,0.4732819199562073,0.8975308537483215,0.297095388174057
3,0.8480856418609619,0.41944408416748047,0.9086419939994812,0.2682718336582184
4,0.8513791561126709,0.41450023651123047,0.9111111164093018,0.25732147693634033
5,0.8612597584724426,0.39685288071632385,0.9160493612289429,0.24299472570419312
6,0.8624948263168335,0.37852394580841064,0.9172839522361755,0.24371246993541718
7,0.8641416430473328,0.3752688765525818,0.9160493612289429,0.24003320932388306
8,0.8760806918144226,0.34823599457740784,0.914814829826355,0.2311570942401886
9,0.8764923810958862,0.332533061504364,0.9209876656532288,0.22820569574832916
10,0.8781391382217407,0.33714529871940613,0.9209876656532288,0.22461067140102386
11,0.8859612941741943,0.31576645374298096,0.9234567880630493,0.21986748278141022
12,0.8814327120780945,0.3253956437110901,0.9197530746459961,0.21701255440711975
13,0.8769040703773499,0.3323375880718231,0.9209876656532288,0.22686424851417542
14,0.8900782465934753,0.3192113935947418,0.9209876656532288,0.22179028391838074
15,0.8781391382217407,0.3217255175113678,0.9197530746459961,0.21102918684482574
16,0.8958418965339661,0.29398882389068604,0.9234567880630493,0.20551779866218567
17,0.8909016251564026,0.29980242252349854,0.9320987462997437,0.19508104026317596
18,0.8954302072525024,0.2753896713256836,0.9296296238899231,0.1966499388217926
19,0.8946068286895752,0.2798427641391754,0.9296296238899231,0.1959492266178131
20,0.8921366930007935,0.28312936425209045,0.9209876656532288,0.1939619481563568
21,0.8917250037193298,0.29519352316856384,0.9271605014801025,0.18854019045829773
22,0.8941951394081116,0.2840212881565094,0.934567928314209,0.18888218700885773
23,0.8999588489532471,0.2748351991176605,0.9308642148971558,0.1854933351278305
24,0.8913133144378662,0.28932398557662964,0.9320987462997437,0.18482385575771332
25,0.9003705382347107,0.2762118875980377,0.934567928314209,0.189496710896492
26,0.8946068286895752,0.2795182466506958,0.9358024597167969,0.18396003544330597
27,0.9003705382347107,0.2783154249191284,0.9432098865509033,0.18723227083683014
28,0.8913133144378662,0.29018744826316833,0.9419752955436707,0.18756304681301117
29,0.9077810049057007,0.2703337073326111,0.934567928314209,0.18405891954898834
30,0.8970769643783569,0.26475173234939575,0.9407407641410828,0.17949840426445007
31,0.9020172953605652,0.25847581028938293,0.9444444179534912,0.17868848145008087
32,0.9003705382347107,0.266685426235199,0.9370370507240295,0.17914113402366638
33,0.9016056060791016,0.2583182156085968,0.9407407641410828,0.1794809252023697
34,0.8995471596717834,0.24476899206638336,0.9407407641410828,0.18090412020683289
35,0.9081926941871643,0.24902725219726562,0.9419752955436707,0.17715083062648773
36,0.8995471596717834,0.2705671787261963,0.9432098865509033,0.17690639197826385
37,0.9090160727500916,0.2527309060096741,0.9432098865509033,0.17546945810317993
38,0.9118978977203369,0.24408482015132904,0.9444444179534912,0.1741873025894165
39,0.8962535858154297,0.26435571908950806,0.9407407641410828,0.1745479255914688
40,0.9048991203308105,0.25564804673194885,0.9456790089607239,0.17400269210338593
41,0.9172499179840088,0.2492266446352005,0.9432098865509033,0.17447392642498016
42,0.9094277620315552,0.24946774542331696,0.9456790089607239,0.1731061190366745
43,0.9094277620315552,0.23688791692256927,0.9432098865509033,0.1738874763250351
44,0.9028406739234924,0.26270201802253723,0.9395061731338501,0.1715252548456192
45,0.910662829875946,0.24646222591400146,0.9419752955436707,0.17243479192256927
46,0.918073296546936,0.23694822192192078,0.9432098865509033,0.17088013887405396
47,0.9020172953605652,0.25167855620384216,0.9419752955436707,0.17198680341243744
48,0.9090160727500916,0.24724934995174408,0.9382715821266174,0.17339326441287994
49,0.9135446548461914,0.2358822077512741,0.9370370507240295,0.17150793969631195
